Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season
Matt Behncke,DAL,D,3,2,190,0,0,1,1,0,0/0,0,0,0,0,0,0,0,0,7,5,0,1,0,100,2002,reg
Lee Morrison,DAL,D,3,1,103,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2002,reg
Alex Bengard,LA ,M,4,0,26,0,0,1,1,0,0/0,0,0,0,0,0,0,0,0,3,0,0,1,0,100,2002,reg
Davy Arnaud,KC ,M,3,0,43,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,3,2,0,0,0,50,2002,reg
Chris Brunt,KC ,D,5,2,158,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,4,5,0,1,0,50,2002,reg
Stephen Herdsman,COL,D,13,9,858,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,16,11,1,1,0,50,2002,reg
Nelson Akwari,MET,D,7,3,325,0,0,2,0,0,0/0,0,0,0,0,0,0,0,0,2,6,0,1,0,0,2002,reg
Chris Leitch,CLB,D,13,11,989,0,0,2,2,0,0/0,0,0,0,0,0,0,0,0,18,11,1,3,0,100,2002,reg
Craig Capano,CHI,M,4,1,92,0,0,2,0,0,0/0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2002,reg
Devin Barclay,SJ ,F,12,2,321,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,2,10,3,0,0,50,2002,reg
Dennis Ludwig,DC ,F,2,0,30,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2002,reg
Johnny Torres,CHI,F,2,0,73,0,0,2,0,0,0/0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2002,reg
Barry Alvarez,MET,M-F,8,0,119,0,0,3,1,0,0/0,0,0,0,0,0,0,0,0,6,5,0,1,0,33.33,2002,reg
Shaker Asad,NE ,M,6,1,140,0,0,3,2,0,0/0,0,0,0,0,0,0,0,0,2,2,1,1,0,66.67,2002,reg
Brandon Prideaux,DC ,D,27,26,2389,0,0,3,1,0,0/0,0,0,0,0,0,0,0,0,36,26,0,6,0,33.33,2002,reg
Percy Olivares,DAL,M,6,2,251,0,0,3,0,0,0/0,0,0,0,0,0,0,0,0,4,7,0,1,0,0,2002,reg
Craig Ziadie,DC ,D,21,18,1637,0,0,3,0,0,0/0,0,0,0,0,0,0,0,0,30,37,0,4,1,0,2002,reg
Mike Nugent,CHI,F,4,0,54,0,0,3,1,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,2002,reg
Richard Farrer,DAL,D,8,7,508,0,0,4,1,0,0/0,0,0,0,0,0,0,0,0,2,3,1,1,0,25,2002,reg
Roy Lassiter,DC ,F,14,4,501,0,0,5,2,0,0/0,0,0,0,0,0,0,0,0,9,17,12,1,0,40,2002,reg
Imad Baba,COL,M,10,4,443,0,0,5,3,0,0/0,0,0,0,0,0,0,0,0,10,10,0,3,0,60,2002,reg
Adam Frye,LA ,D,20,10,956,0,0,5,2,0,0/0,0,0,0,0,0,0,0,0,14,14,0,3,0,40,2002,reg
Rusty Pierce,NE ,D,14,13,1161,0,0,5,0,0,0/0,0,0,0,0,0,0,0,0,22,22,0,4,0,0,2002,reg
Tenywa Bonseu,DAL,D,27,27,2370,0,0,6,2,0,0/0,0,0,0,0,0,0,0,0,29,17,0,4,0,33.33,2002,reg
Orlando Perez,CHI,D,21,11,1174,0,0,7,2,0,0/0,0,0,0,0,0,0,0,0,18,3,1,1,0,28.57,2002,reg
Jeff Agoos,SJ ,D,12,9,839,0,0,7,3,0,0/0,0,0,0,0,0,0,0,0,4,13,0,2,0,42.86,2002,reg
Mike Petke,MET,D,27,27,2398,0,0,8,2,0,0/0,0,0,0,0,0,0,0,0,41,35,1,6,1,25,2002,reg
Lazo Alavanja,DC ,M,17,10,1001,0,0,13,5,0,0/0,0,0,0,0,0,0,0,0,20,12,0,4,1,38.46,2002,reg
Carlos Ruiz,LA ,F,26,25,2330,15,5,84,51,5,8-Jul,11,4,0.58,17.9,0,5,0,0.19,76,87,46,7,1,60.71,2003,reg
Taylor Twellman,NE ,F,22,20,1893,15,4,90,47,3,0/1,7,8,0.71,16.7,0,2,2,0.19,34,57,23,2,0,52.22,2003,reg
Ante Razov,CHI,F,26,25,2269,14,6,119,67,4,6-May,8,6,0.56,11.8,3,3,3,0.24,40,44,37,3,1,56.3,2003,reg
John Spencer,COL,F,27,25,2264,14,5,81,37,5,5-Apr,7,7,0.56,17.3,0,2,3,0.2,36,40,24,3,0,45.68,2003,reg
Preki,KC ,M,30,30,2678,12,17,92,34,1,6-May,6,6,0.4,13,5,13,4,0.57,20,60,3,5,0,36.96,2003,reg
Landon Donovan,SJ ,M-F,22,21,1882,12,6,53,30,5,1-Jan,5,7,0.57,22.6,2,4,2,0.29,30,38,6,4,0,56.6,2003,reg
Brian McBride,CLB,F,24,23,2183,12,3,68,34,4,2-Feb,6,6,0.49,17.6,0,2,1,0.12,20,78,15,3,0,50,2003,reg
Mark Chung,COL,M,29,29,2639,11,6,78,39,3,0/0,8,3,0.38,14.1,3,3,3,0.2,23,39,6,1,1,50,2003,reg
Damani Ralph,CHI,F,25,22,1982,11,6,91,36,4,1-Jan,4,7,0.5,12.1,3,4,2,0.27,29,56,22,1,0,39.56,2003,reg
Pat Noonan,NE ,F,28,17,1642,10,7,44,24,3,0/0,4,6,0.55,22.7,1,3,4,0.38,22,37,5,0,0,54.55,2003,reg
Edson Buddle,CLB,F,21,16,1509,10,4,59,26,1,0/0,6,4,0.6,16.9,1,3,1,0.24,24,20,21,2,0,44.07,2003,reg
Clint Mathis,MET,M,22,22,2019,9,1,84,35,3,3-Jan,5,4,0.4,10.7,0,1,0,0.04,39,40,14,6,1,41.67,2003,reg
DaMarcus Beasley,CHI,D,22,20,1968,7,5,45,16,1,0/0,5,2,0.32,15.6,1,4,1,0.23,48,96,9,5,0,35.56,2003,reg
Igor Simutenkov,KC ,M-F,21,19,1434,7,3,43,25,3,0/0,6,1,0.44,16.3,1,1,2,0.19,27,36,11,3,0,58.14,2003,reg
Jason Kreis,DAL,M,18,18,1543,7,2,42,21,1,2-Jan,6,1,0.41,16.7,1,1,1,0.12,21,22,17,3,0,50,2003,reg
Mike Magee,MET,M,29,19,1704,7,2,44,25,2,0/0,2,5,0.37,15.9,0,1,1,0.11,33,43,11,1,0,56.82,2003,reg
Brian Mullan,SJ ,D,30,30,2723,6,9,38,19,1,0/0,5,1,0.2,15.8,2,2,7,0.3,57,54,15,6,0,50,2003,reg
Marco Etcheverry,DC ,M,25,21,2005,6,7,27,13,1,5-May,4,2,0.27,22.2,2,5,2,0.31,30,52,4,6,0,48.15,2003,reg
Brian Kamler,NE ,M,28,28,2322,6,5,37,18,2,0/0,3,3,0.23,16.2,0,4,1,0.19,27,30,2,1,1,48.65,2003,reg
Brad Davis,DAL,M,26,21,1908,6,5,41,16,0,2-Feb,4,2,0.28,14.6,1,3,2,0.24,41,42,7,1,0,39.02,2003,reg
Chris Klein,KC ,M,27,27,2527,6,4,37,16,2,0/0,3,3,0.21,16.2,2,2,2,0.14,19,25,14,1,0,43.24,2003,reg
Alejandro Moreno,LA ,F,24,10,1112,6,2,19,12,2,0/0,5,1,0.49,31.6,1,2,0,0.16,22,40,8,1,0,63.16,2003,reg
Brian Ching,SJ ,F,15,14,1235,6,2,39,17,1,0/0,1,5,0.44,15.4,2,0,2,0.15,31,44,13,0,0,43.59,2003,reg
Dema Kovalenko,DC ,M,26,26,2401,6,0,26,14,3,0/0,4,2,0.22,23.1,0,0,0,0,67,68,1,6,1,53.85,2003,reg
Jeff Cunningham,CLB,F,21,13,1401,5,7,49,23,2,1-Jan,3,2,0.32,10.2,1,4,3,0.45,19,30,26,2,0,46.94,2003,reg
Hristo Stoitchkov,DC ,F,21,9,897,5,5,30,12,0,2-Feb,3,2,0.5,16.7,1,2,3,0.5,18,27,8,6,0,40,2003,reg
Chris Brown,KC ,M-F,21,12,1324,5,2,35,18,2,0/0,4,1,0.34,14.3,1,1,1,0.14,8,7,2,0,0,51.43,2003,reg
John Wolyniec,MET,F,25,14,1383,5,2,39,20,2,0/0,2,3,0.33,12.8,1,1,1,0.13,29,32,15,3,0,51.28,2003,reg
Jesse Marsch,CHI,M,19,16,1465,5,0,20,10,1,1-Jan,3,2,0.31,25,0,0,0,0,27,23,2,2,0,50,2003,reg
Zizi Roberts,COL,F,12,8,728,5,0,27,16,0,0/0,1,4,0.62,18.5,0,0,0,0,21,15,10,0,0,59.26,2003,reg
Ross Paule,CLB,M,25,25,2212,4,7,27,15,1,0/0,2,2,0.16,14.8,1,6,1,0.28,33,22,2,2,0,55.56,2003,reg
Steve Ralston,NE ,M,26,25,2347,4,7,29,15,1,1-Jan,4,0,0.15,13.8,1,4,3,0.27,18,24,2,1,0,51.72,2003,reg
Ben Olsen,DC ,M,26,26,2239,4,7,31,13,4,0/0,2,2,0.16,12.9,2,5,2,0.28,47,80,6,1,0,41.94,2003,reg
Joe-Max Moore,NE ,F,16,13,1186,4,7,42,19,0,0/0,3,1,0.3,9.5,0,6,1,0.53,15,28,5,0,1,45.24,2003,reg
Chris Henderson,COL,M,26,25,2180,4,6,47,17,1,1-Jan,1,3,0.17,8.5,2,4,2,0.25,56,28,23,2,0,36.17,2003,reg
Brian West,CLB,M-F,24,17,1541,4,4,20,10,2,0/0,3,1,0.23,20,1,3,1,0.23,24,18,7,2,0,50,2003,reg
Dwayne De Rosario,SJ ,M,11,6,684,4,3,20,8,0,0/0,4,0,0.53,20,1,2,1,0.39,12,10,13,0,0,40,2003,reg
Ronald Cerritos,DAL,F,25,19,1765,4,2,30,16,1,1-Jan,1,3,0.2,13.3,0,2,0,0.1,17,20,19,0,0,53.33,2003,reg
Jimmy Conrad,KC ,D,30,30,2777,4,1,18,8,1,0/0,4,0,0.13,22.2,0,1,0,0.03,44,18,2,2,0,44.44,2003,reg
Steve Jolley,MET,D,24,23,2193,4,0,11,9,1,0/0,2,2,0.16,36.4,0,0,0,0,31,22,0,3,0,81.82,2003,reg
Jamil Walker,SJ ,M-F,19,0,361,4,0,18,13,1,0/0,2,2,1,22.2,0,0,0,0,11,8,5,1,0,72.22,2003,reg
Amado Guevara,MET,M,25,25,2264,3,10,72,37,1,2-Jan,2,1,0.12,4.2,4,5,5,0.4,41,64,4,7,1,51.39,2003,reg
Chris Carrieri,COL,F,30,27,2457,3,8,54,27,1,0/0,3,0,0.11,5.6,4,2,6,0.29,29,45,27,5,0,50,2003,reg
Eric Quill,KC ,F,27,25,2260,3,7,33,17,0,0/0,2,1,0.12,9.1,1,3,4,0.28,26,33,14,6,0,51.52,2003,reg
Manny Lagos,SJ ,M,27,17,1543,3,5,33,12,1,0/0,1,2,0.17,9.1,2,2,3,0.29,22,25,8,3,1,36.36,2003,reg
Chris Albright,LA ,D,27,23,1965,3,4,48,24,0,0/0,1,2,0.14,6.3,1,2,2,0.18,56,38,4,5,0,50,2003,reg
Justin Mapp,CHI,M,21,18,1383,3,3,19,11,1,0/0,3,0,0.2,15.8,0,2,1,0.2,17,38,2,0,0,57.89,2003,reg
Eliseo Quintanilla,DC ,F-M,18,12,1176,3,3,23,13,1,1-Jan,1,2,0.23,13,0,1,2,0.23,27,24,5,3,0,56.52,2003,reg
Francisco Gomez,KC ,M,26,18,1640,3,3,45,19,0,0/0,2,1,0.16,6.7,1,2,1,0.16,20,26,1,3,0,42.22,2003,reg
Diego Serna,LA ,F,10,8,660,3,2,8,5,0,0/0,2,1,0.41,37.5,1,2,0,0.27,14,14,1,1,0,62.5,2003,reg
Alecko Eskandarian,DC ,F,23,5,724,3,2,15,7,0,0/0,2,1,0.37,20,1,0,2,0.25,12,16,2,3,1,46.67,2003,reg
Jay Heaps,NE ,D,28,28,2579,3,1,25,9,0,0/0,2,1,0.1,12,0,1,0,0.03,50,28,1,5,1,36,2003,reg
Ricardo Clark,MET,M,28,28,2590,3,1,38,15,0,0/0,0,3,0.1,7.9,0,1,0,0.03,46,58,4,5,0,39.47,2003,reg
Davy Arnaud,KC ,M,18,7,812,3,0,11,5,0,0/0,3,0,0.33,27.3,0,0,0,0,20,20,9,3,0,45.45,2003,reg
Mike Petke,DC ,D,25,25,2343,3,0,11,8,1,0/0,2,1,0.12,27.3,0,0,0,0,41,10,0,9,0,72.73,2003,reg
Eddie Johnson,DAL,F,22,13,1262,3,0,31,12,1,0/1,2,1,0.21,9.7,0,0,0,0,26,31,16,2,0,38.71,2003,reg
Cobi Jones,LA ,M,28,28,2574,2,8,34,8,0,0/0,1,1,0.07,5.9,1,6,2,0.28,21,65,7,4,0,23.53,2003,reg
Andy Williams,CHI,M,20,14,1358,2,7,22,7,0,0/0,0,2,0.13,9.1,2,2,5,0.46,32,45,2,3,0,31.82,2003,reg
Ali Curtis,DAL,F,25,18,1508,2,6,28,11,0,0/0,1,1,0.12,7.1,1,3,3,0.36,24,47,10,2,0,39.29,2003,reg
Chris Armas,CHI,M,25,25,2267,2,4,19,7,1,0/0,2,0,0.08,10.5,0,3,1,0.16,33,38,2,3,0,36.84,2003,reg
Toni Nhleko,DAL,F,11,9,791,2,4,22,7,1,0/0,2,0,0.23,9.1,0,2,2,0.46,23,12,19,2,0,31.82,2003,reg
Kyle Martino,CLB,M,22,20,1765,2,4,25,13,0,0/0,0,2,0.1,8,0,4,0,0.2,36,79,3,1,0,52,2003,reg
Joselito Vaca,DAL,M,27,21,1869,2,4,32,14,0,0/0,2,0,0.1,6.3,1,2,2,0.19,24,29,6,1,0,43.75,2003,reg
Brian Dunseth,CLB,D,28,26,2394,2,3,11,6,0,0/0,1,1,0.08,18.2,0,1,2,0.11,40,14,0,6,0,54.55,2003,reg
Chris Roner,SJ ,M,23,21,1939,2,2,16,8,0,0/0,1,1,0.09,12.5,1,2,0,0.09,26,15,0,2,0,50,2003,reg
Nate Jaqua,CHI,F,20,5,708,2,2,17,7,1,0/0,1,1,0.25,11.8,0,0,2,0.25,20,13,4,1,0,41.18,2003,reg
Jeff Agoos,SJ ,D,28,28,2593,2,2,17,4,0,1-Jan,2,0,0.07,11.8,0,2,0,0.07,21,25,0,6,0,23.53,2003,reg
Wolde Harris,KC ,F,27,15,1412,2,2,46,23,0,0/0,1,1,0.13,4.3,0,1,1,0.13,31,34,16,0,0,50,2003,reg
Shalrie Joseph,NE ,M,28,27,2465,2,2,46,17,1,0/0,1,1,0.07,4.3,0,1,1,0.07,62,54,1,5,0,36.96,2003,reg
Eric Denton,CLB,D,26,25,2336,2,1,10,7,0,0/0,0,2,0.08,20,0,0,1,0.04,31,25,0,7,0,70,2003,reg
Josh Wolff,KC ,F,13,9,868,2,1,14,9,1,0/0,1,1,0.21,14.3,1,1,0,0.1,18,12,10,1,0,64.29,2003,reg
Bobby Rhine,DAL,M,25,10,1030,2,1,21,10,0,0/0,2,0,0.17,9.5,0,1,0,0.09,22,20,8,3,0,47.62,2003,reg
Kelly Gray,CHI,D-M,28,20,1908,2,1,25,10,0,0/0,2,0,0.09,8,1,0,1,0.05,24,14,1,3,0,40,2003,reg
Bobby Convey,DC ,M,19,16,1576,2,1,27,11,0,0/0,0,2,0.11,7.4,0,1,0,0.06,34,33,6,4,1,40.74,2003,reg
Sasha Victorine,LA ,M,20,20,1797,2,1,30,17,1,0/0,2,0,0.1,6.7,0,0,1,0.05,25,23,1,3,0,56.67,2003,reg
Jacob LeBlanc,MET,M,7,2,221,2,0,3,2,0,0/0,1,1,0.81,66.7,0,0,0,0,3,2,0,1,0,66.67,2003,reg
Dario Fabbro,KC ,F,16,9,689,2,0,10,5,0,0/0,1,1,0.26,20,0,0,0,0,10,10,11,1,1,50,2003,reg
Jaime Moreno,MET,F,11,7,517,2,0,10,6,0,1-Jan,1,1,0.35,20,0,0,0,0,7,15,3,0,0,60,2003,reg
Orlando Perez,CHI,D,21,18,1634,2,0,12,5,1,0/0,1,1,0.11,16.7,0,0,0,0,25,9,2,2,0,41.67,2003,reg
Stephen Armstrong,KC ,M,23,9,1098,2,0,17,9,0,0/0,1,1,0.16,11.8,0,0,0,0,26,20,4,2,0,52.94,2003,reg
Mark Lisi,MET,M,24,20,1827,1,11,17,7,0,1-Jan,0,1,0.05,5.9,3,5,6,0.54,29,27,1,5,0,41.18,2003,reg
Jose Cancela,NE ,M,13,12,1142,1,7,36,13,0,1-Jan,0,1,0.08,2.8,2,4,3,0.55,13,64,0,0,0,36.11,2003,reg
Todd Dunivant,SJ ,D,30,30,2778,1,6,19,11,1,0/0,0,1,0.03,5.3,1,3,3,0.19,17,18,2,2,0,57.89,2003,reg
Freddy Garcia,CLB,M,22,12,1275,1,6,41,12,0,0/0,1,0,0.07,2.4,1,4,2,0.42,12,23,5,0,0,29.27,2003,reg
Chad Deering,DAL,M,27,26,2187,1,5,24,6,1,0/0,1,0,0.04,4.2,0,3,2,0.21,57,23,0,7,1,25,2003,reg
Oscar Pareja,DAL,M,24,23,1982,1,4,20,3,0,0/0,1,0,0.05,5,2,3,1,0.18,58,48,5,9,0,15,2003,reg
Joe Franchino,NE ,M,25,25,2355,1,4,25,8,1,0/0,1,0,0.04,4,0,2,2,0.15,48,29,0,7,0,32,2003,reg
Santino Quaranta,DC ,M-F,12,8,738,1,3,14,8,0,0/0,0,1,0.12,7.1,1,1,2,0.37,9,14,4,0,0,57.14,2003,reg
Ronnie Ekelund,SJ ,M,22,17,1454,1,3,15,5,0,0/0,0,1,0.06,6.7,2,2,1,0.19,38,18,1,5,0,33.33,2003,reg
Chris Gbandi,DAL,D,22,17,1569,1,2,4,3,0,0/0,1,0,0.06,25,0,2,0,0.11,27,22,3,4,0,75,2003,reg
Craig Ziadie,MET,D,22,20,1912,1,2,5,2,1,0/0,1,0,0.05,20,0,2,0,0.09,37,20,0,6,0,40,2003,reg
Carlos Bocanegra,CHI,D,19,19,1784,1,2,10,5,0,0/0,1,0,0.05,10,1,1,1,0.1,38,22,1,8,1,50,2003,reg
Kerry Zavagnin,KC ,M,29,27,2486,1,2,12,2,0,0/0,1,0,0.04,8.3,0,1,1,0.07,49,41,1,6,0,16.67,2003,reg
Earnie Stewart,DC ,M,21,21,1923,1,2,24,8,0,0/0,1,0,0.05,4.2,1,1,1,0.09,22,12,9,3,0,33.33,2003,reg
Simon Elliott,LA ,M,24,23,2141,1,2,39,16,0,0/0,1,0,0.04,2.6,1,1,1,0.08,25,25,1,1,0,41.03,2003,reg
Ramiro Corrales,SJ ,M,25,24,2080,1,2,39,14,1,0/0,1,0,0.04,2.6,0,0,2,0.09,45,26,0,6,2,35.9,2003,reg
Eddie Robinson,SJ ,D,13,13,1121,1,1,5,3,1,0/0,0,1,0.08,20,0,1,0,0.08,27,17,0,2,0,60,2003,reg
Dipsy Selolwane,CHI,F,5,1,164,1,1,5,2,0,0/0,0,1,0.55,20,1,1,0,0.55,8,1,0,1,0,40,2003,reg
Arturo Alvarez,SJ ,M,15,5,651,1,1,6,2,1,0/0,0,1,0.14,16.7,0,0,1,0.14,17,11,0,2,0,33.33,2003,reg
Alexi Lalas,LA ,D,22,19,1760,1,1,11,5,1,0/0,1,0,0.05,9.1,0,0,1,0.05,32,13,2,4,0,45.45,2003,reg
Antonio Martinez,DAL,F-M,14,8,775,1,1,13,5,0,0/0,1,0,0.12,7.7,0,1,0,0.12,7,19,2,0,0,38.46,2003,reg
Eddie Gaven,MET,M,12,7,691,1,1,13,9,1,0/0,0,1,0.13,7.7,1,0,1,0.13,11,19,5,0,0,69.23,2003,reg
Evan Whitfield,CHI,D,27,25,2328,1,1,14,8,1,0/0,1,0,0.04,7.1,0,0,1,0.04,57,44,6,6,0,57.14,2003,reg
Seth Trembly,COL,M-D,16,11,1111,1,1,16,6,0,0/0,1,0,0.08,6.3,0,0,1,0.08,34,26,0,5,0,37.5,2003,reg
Gavin Glinton,DAL,F,19,7,669,1,1,16,10,0,0/0,0,1,0.13,6.3,0,0,1,0.13,8,19,8,1,0,62.5,2003,reg
Galin Ivanov,DC ,D,24,22,2009,1,1,16,8,0,0/0,0,1,0.04,6.3,0,1,0,0.04,35,15,1,6,0,50,2003,reg
Ritchie Kotschau,COL,D,26,25,2333,1,1,17,3,1,0/0,0,1,0.04,5.9,1,1,0,0.04,37,27,0,6,0,17.65,2003,reg
Ezra Hendrickson,DAL,D,28,25,2303,1,1,18,4,0,0/0,0,1,0.04,5.6,0,1,0,0.04,25,13,0,4,1,22.22,2003,reg
Chris Brunt,KC ,D,4,2,165,1,0,2,1,0,0/0,1,0,0.55,50,0,0,0,0,4,3,0,0,0,50,2003,reg
Jeff Matteo,CLB,M,6,3,285,1,0,2,1,0,0/0,1,0,0.32,50,0,0,0,0,9,9,0,1,0,50,2003,reg
Matt Crawford,COL,M,16,8,746,1,0,3,2,0,0/0,0,1,0.12,33.3,0,0,0,0,8,14,0,0,0,66.67,2003,reg
Shavar Thomas,DAL,D,15,14,1251,1,0,4,2,1,0/0,0,1,0.07,25,0,0,0,0,34,6,0,2,1,50,2003,reg
Andrzej Juskowiak,MET,F,5,0,158,1,0,7,3,0,0/0,1,0,0.57,14.3,0,0,0,0,3,5,0,0,0,42.86,2003,reg
Brian Maisonneuve,CLB,M,23,20,1729,1,0,9,3,0,0/0,0,1,0.05,11.1,0,0,0,0,55,25,1,5,0,33.33,2003,reg
Ryan Suarez,DAL,D,15,15,1356,1,0,9,3,0,0/0,0,1,0.07,11.1,0,0,0,0,36,14,2,5,1,33.33,2003,reg
Diego Walsh,CLB,M,14,6,610,1,0,9,4,0,0/0,1,0,0.15,11.1,0,0,0,0,19,4,3,2,1,44.44,2003,reg
Ronnie O'Brien,DAL,M,6,3,317,1,0,10,5,0,0/0,1,0,0.28,10,0,0,0,0,12,5,0,0,0,50,2003,reg
Alex Zotinca,KC ,D,20,14,1237,1,0,11,5,1,0/0,1,0,0.07,9.1,0,0,0,0,34,22,0,6,0,45.45,2003,reg
Ryan Nelsen,DC ,D,25,25,2314,1,0,30,12,0,0/0,0,1,0.04,3.3,0,0,0,0,39,18,0,5,1,40,2003,reg
Richard Mulrooney,SJ ,M,25,25,2330,0,7,24,7,0,0/0,0,0,0,0,3,2,5,0.27,29,54,1,2,0,29.17,2003,reg
Ian Russell,SJ ,D,18,16,1337,0,5,14,5,0,0/0,0,0,0,0,2,2,3,0.34,30,18,10,3,0,35.71,2003,reg
Kyle Beckerman,RSL,M,28,24,2123,0,5,29,14,0,0/0,0,0,0,0,3,3,2,0.21,52,29,2,5,1,48.28,2003,reg
Frankie Hejduk,CLB,D,23,23,2128,0,4,25,10,0,0/0,0,0,0,0,1,1,3,0.17,29,43,2,6,0,40,2003,reg
Jake Traeger,CLB,D,1,0,12,0,2,1,1,0,0/0,0,0,0,0,0,2,0,15,0,0,0,0,0,100,2003,reg
Casey Schmidt,COL,F,13,1,359,0,2,4,0,0,0/0,0,0,0,0,0,2,0,0.5,6,7,0,0,0,0,2003,reg
Zach Kingsley,COL,M,12,5,477,0,2,4,3,0,0/0,0,0,0,0,0,1,1,0.38,8,19,1,0,0,75,2003,reg
Pablo Mastroeni,COL,M,18,18,1655,0,2,6,0,0,0/0,0,0,0,0,0,0,2,0.11,41,25,0,7,1,0,2003,reg
Hong Myung Bo,LA ,D,25,25,2296,0,2,7,0,0,0/0,0,0,0,0,2,2,0,0.08,27,17,0,4,0,0,2003,reg
Leo Cullen,NE ,M,26,18,1563,0,2,7,2,0,0/0,0,0,0,0,0,1,1,0.12,12,12,1,1,0,28.57,2003,reg
Daniel Hernandez,NE ,M,9,4,520,0,2,8,2,0,0/0,0,0,0,0,0,1,1,0.35,20,10,0,0,0,25,2003,reg
Craig Waibel,SJ ,D,24,22,1991,0,2,9,4,0,0/0,0,0,0,0,0,0,2,0.09,47,9,0,7,1,44.44,2003,reg
Wes Hart,COL,D-M,29,29,2623,0,2,12,4,0,0/0,0,0,0,0,0,1,1,0.07,34,40,1,5,0,33.33,2003,reg
Richie Williams,MET,M,26,26,2337,0,2,12,4,0,0/0,0,0,0,0,0,1,1,0.08,51,36,2,6,0,33.33,2003,reg
Danny Califf,LA ,D,23,23,2162,0,2,13,5,0,0/0,0,0,0,0,1,2,0,0.08,38,17,0,3,0,38.46,2003,reg
Mauricio Cienfuegos,LA ,M,20,15,1342,0,2,13,6,0,0/0,0,0,0,0,1,2,0,0.13,14,21,1,3,1,46.15,2003,reg
Alex Pineda Chacon,CLB,M,14,7,700,0,2,15,8,0,0/0,0,0,0,0,1,1,1,0.26,4,8,4,0,0,53.33,2003,reg
Eddie Pope,MET,D,20,20,1724,0,2,15,6,0,0/0,0,0,0,0,0,1,1,0.1,27,20,1,3,0,40,2003,reg
Jorge Vazquez,KC ,M,4,2,197,0,1,1,0,0,0/0,0,0,0,0,0,1,0,0.46,4,9,0,0,0,0,2003,reg
Jonathan Bolanos,CHI,M,2,1,92,0,1,2,0,0,0/0,0,0,0,0,0,0,1,0.98,1,5,1,0,0,0,2003,reg
Ryan Futagaki,CHI,M,6,2,218,0,1,3,0,0,0/0,0,0,0,0,0,1,0,0.41,6,4,0,0,0,0,2003,reg
Bryan Namoff,DC ,D,22,17,1663,0,1,3,1,0,0/0,0,0,0,0,0,1,0,0.05,28,20,1,3,0,33.33,2003,reg
Carey Talley,KC ,D,20,13,1341,0,1,3,0,0,0/0,0,0,0,0,0,0,1,0.07,23,19,1,5,0,0,2003,reg
Paul Broome,DAL,M,11,8,748,0,1,3,1,0,0/0,0,0,0,0,0,1,0,0.12,15,12,1,2,1,33.33,2003,reg
C.J. Brown,CHI,D,21,19,1728,0,1,7,2,0,0/0,0,0,0,0,0,1,0,0.05,21,17,0,2,1,28.57,2003,reg
Mike Clark,CLB,D,29,29,2673,0,1,10,2,0,0/0,0,0,0,0,0,0,1,0.03,44,22,2,5,1,20,2003,reg
Jim Curtin,CHI,D,30,30,2733,0,1,10,3,0,0/0,0,0,0,0,0,0,1,0.03,36,20,1,4,0,30,2003,reg
Jose Alegria,DC ,M,17,13,1091,0,1,12,5,0,0/0,0,0,0,0,0,1,0,0.08,31,21,0,4,0,41.67,2003,reg
Rodrigo Faria,CHI,F,9,7,578,0,1,18,4,0,0/1,0,0,0,0,0,1,0,0.16,11,11,9,0,0,22.22,2003,reg
Nick Downing,NE ,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2003,reg
Tony Frias,NE ,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2003,reg
Jeff Moore,MET,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2003,reg
Stephen Herdsman,COL,D,3,3,198,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,3,1,0,1,0,,2003,reg
Carl Bussey,DAL,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2003,reg
Billy Sleeth,COL,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2003,reg
Isaias Bardales Jr.,LA ,F,1,0,21,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,2,0,0,0,0,,2003,reg
Daniel Torres,CLB,D,8,6,561,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,11,5,1,1,0,,2003,reg
Craig Capano,CHI,M,5,1,120,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,2,0,0,0,,2003,reg
Carlos Llamosa,NE ,D,24,23,2001,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,34,22,0,9,0,,2003,reg
