Date,Open,High,Low,Close,Adj Close,Volume
11/7/2019,90.188004,90.294998,89.174004,89.410004,89.410004,53022000
11/8/2019,89.394501,89.494003,88.702003,89.293999,89.293999,42466000
11/11/2019,88.900002,89,88.356499,88.582497,88.582497,38920000
11/12/2019,88.733002,89.310997,88.595497,88.900002,88.900002,40752000
11/13/2019,88.669502,88.75,87.365997,87.655502,87.655502,59790000
11/14/2019,87.571503,88.329498,87.477997,87.730003,87.730003,45296000
11/15/2019,88.002502,88.084,86.642998,86.974503,86.974503,78552000
11/18/2019,86.915001,87.684998,86.135498,87.626503,87.626503,56790000
11/19/2019,87.849503,88.033997,87.151497,87.639503,87.639503,45416000
11/20/2019,87.457001,88.125999,86.706001,87.276497,87.276497,55800000
11/21/2019,87.150002,87.343498,86.517998,86.735497,86.735497,53258000
11/22/2019,86.950996,87.321503,86.550003,87.286003,87.286003,49582000
11/25/2019,87.662498,88.871002,87.662003,88.692001,88.692001,69724000
11/26/2019,88.996002,89.851501,88.917503,89.847,89.847,63624000
11/27/2019,90.050003,91.224998,89.865501,90.925499,90.925499,60512000
11/29/2019,90.889,91.234497,90.039497,90.040001,90.040001,38468000
12/2/2019,90.220001,90.277496,88.134003,89.080002,89.080002,78512000
12/3/2019,88,88.643501,87.361504,88.498001,88.498001,67618000
12/4/2019,88.7005,89.454498,88.011002,88.0345,88.0345,53402000
12/5/2019,88.175003,88.175003,87,87.024002,87.024002,56476000
12/6/2019,87.559998,87.720001,87.0065,87.580002,87.580002,62348000
12/9/2019,87.532997,88.344498,87.280502,87.475502,87.475502,48856000
12/10/2019,87.370003,87.533501,86.75,86.960503,86.960503,50286000
12/11/2019,87.083504,87.5,86.7855,87.435997,87.435997,41952000
12/12/2019,87.5,88.199997,87.272003,88.016502,88.016502,61918000
12/13/2019,88.25,88.449501,87.75,88.046997,88.046997,54914000
12/16/2019,88.349998,88.474998,87.852501,88.460503,88.460503,62904000
12/17/2019,88.900497,89.599998,88.869499,89.532997,89.532997,72888000
12/18/2019,89.750999,89.910004,89.117996,89.2015,89.2015,67028000
12/19/2019,89.025002,89.649498,88.703003,89.613998,89.613998,53056000
12/20/2019,89.981003,90.148499,89.122498,89.324997,89.324997,103016000
12/23/2019,89.413002,89.650002,89.225502,89.650002,89.650002,42728000
12/24/2019,89.690498,89.778503,89.378998,89.460503,89.460503,17626000
12/26/2019,90.050499,93.523003,89.974998,93.438499,93.438499,120108000
12/27/2019,94.146004,95.07,93.300499,93.489998,93.489998,123732000
12/30/2019,93.699997,94.199997,92.030998,92.344498,92.344498,73494000
12/31/2019,92.099998,92.663002,91.611504,92.391998,92.391998,50130000
1/2/2020,93.75,94.900497,93.207497,94.900497,94.900497,80580000
1/3/2020,93.224998,94.309998,93.224998,93.748497,93.748497,75288000
1/6/2020,93,95.184502,93,95.143997,95.143997,81236000
1/7/2020,95.224998,95.694504,94.601997,95.343002,95.343002,80898000
1/8/2020,94.902,95.550003,94.321999,94.598503,94.598503,70160000
1/9/2020,95.494499,95.890999,94.790001,95.052498,95.052498,63346000
1/10/2020,95.268501,95.347,94,94.157997,94.157997,57074000
1/13/2020,94.565498,94.900002,94.040001,94.565002,94.565002,55616000
1/14/2020,94.293999,94.355499,92.927498,93.472,93.472,68818000
1/15/2020,93.612503,93.943001,92.754501,93.100998,93.100998,57932000
1/16/2020,94.149498,94.279503,93.301003,93.897003,93.897003,53190000
1/17/2020,94.294502,94.332001,92.862503,93.236,93.236,79946000
1/21/2020,93.25,94.713501,93,94.599998,94.599998,74156000
1/22/2020,94.804497,95.125,94.167,94.373001,94.373001,64326000
1/23/2020,94.255501,94.499001,93.638,94.228996,94.228996,49692000
1/24/2020,94.568497,94.749496,92.372002,93.082001,93.082001,75324000
1/27/2020,91,92.050003,90.766998,91.417,91.417,70570000
1/28/2020,92.025002,92.905502,91.500999,92.662498,92.662498,56160000
1/29/2020,93.199997,93.737503,92.750999,92.900002,92.900002,41760000
1/30/2020,92.900002,93.643501,92.530502,93.533997,93.533997,126548000
1/31/2020,102.573502,102.786003,100.113503,100.435997,100.435997,311346000
2/3/2020,100.529999,102.425003,100.012497,100.209999,100.209999,117834000
2/4/2020,101.494003,102.989998,100.768501,102.483498,102.483498,105786000
2/5/2020,103.551003,103.551003,101.599998,101.9935,101.9935,87524000
2/6/2020,102.051003,102.815002,101.239998,102.511497,102.511497,63660000
2/7/2020,102.099503,104.926498,101.904999,103.963997,103.963997,101906000
2/10/2020,104.250504,106.779999,104.248001,106.695503,106.695503,101124000
2/11/2020,107.544998,109.297501,106.800003,107.540001,107.540001,114920000
2/12/2020,108.160004,109.012497,107.764503,108,108,66686000
2/13/2020,107.249496,108.514,107.099998,107.4935,107.4935,60636000
2/14/2020,107.783997,107.952003,106.294502,106.7435,106.7435,52124000
2/18/2020,106.250999,108.303497,106.205498,107.783501,107.783501,58912000
2/19/2020,108.389999,109.254997,108.056,108.511002,108.511002,51224000
2/20/2020,108.653503,108.8395,106.372498,107.654999,107.654999,62626000
2/21/2020,107.107498,107.227501,104.400002,104.7985,104.7985,92926000
2/24/2020,100.158997,101.964996,99.398499,100.4645,100.4645,130940000
2/25/2020,101.320999,101.730003,97.920998,98.637001,98.637001,124382000
2/26/2020,98.514,100.733498,98.022499,98.9795,98.9795,104492000
2/27/2020,96.719002,98.75,94.138,94.214996,94.214996,162880000
2/28/2020,90.731499,94.487999,90.556503,94.1875,94.1875,189620000
3/2/2020,95.324501,97.725502,93.5,97.697502,97.697502,135234000
3/3/2020,98.768501,99.816498,94.404503,95.449501,95.449501,150690000
3/4/2020,97.328499,98.900002,96.099998,98.791496,98.791496,95458000
3/5/2020,96.650002,98.036003,95.5,96.2015,96.2015,94964000
3/6/2020,93.75,95.543503,93.474998,95.054497,95.054497,105472000
3/9/2020,88.693001,93.138496,88.064499,90.030502,90.030502,156264000
3/10/2020,93.543999,94.713501,90.908501,94.591003,94.591003,142666000
3/11/2020,92.892502,93.566002,90.074997,91.042999,91.042999,112496000
3/12/2020,86.098999,88.25,83.75,83.830498,83.830498,226924000
3/13/2020,87.75,89.315498,84.030998,89.25,89.25,176194000
3/16/2020,82.0755,87.972504,81.301498,84.457497,84.457497,178346000
3/17/2020,88.773499,92.889,84.461998,90.391998,90.391998,218342000
3/18/2020,87.5,92.083,87.25,91.5,91.5,192904000
3/19/2020,93,97.25,91.6325,94.046501,94.046501,207998000
3/20/2020,96.315498,97.849998,91.036499,92.304497,92.304497,196358000
3/23/2020,91.387497,95.970001,90.599998,95.141502,95.141502,156170000
3/24/2020,97.574997,97.75,95.016998,97.004997,97.004997,142942000
3/25/2020,96.0345,97.513,94.289001,94.292,94.292,129582000
3/26/2020,95.099998,97.824501,94.4645,97.774498,97.774498,124426000
3/27/2020,96.542999,96.989502,94.996002,95.004997,95.004997,107758000
3/30/2020,96.141502,98.681503,95.616997,98.197502,98.197502,122522000
3/31/2020,98.217499,99.651001,97.2005,97.486,97.486,102472000
4/1/2020,96.648499,97.248001,94.650002,95.385002,95.385002,82438000
4/2/2020,95.082001,96.376503,94.5,95.941498,95.941498,86720000
4/3/2020,95.557503,96.316498,94.457497,95.329498,95.329498,72198000
4/6/2020,96.800003,99.926003,96.500999,99.879501,99.879501,115464000
4/7/2020,100.855499,101.786003,99.880997,100.580002,100.580002,102280000
4/8/2020,101.050003,102.199997,100.557503,102.150002,102.150002,79546000
4/9/2020,102.214996,102.650002,100.883003,102.138,102.138,92930000
4/13/2020,102,109,101.900002,108.443497,108.443497,134334000
4/14/2020,110.023499,114.599998,109.310501,114.166,114.166,161744000
4/15/2020,112.884003,116.668503,112.25,115.384003,115.384003,137332000
4/16/2020,117.300003,123.050003,116.75,120.4095,120.4095,240764000
4/17/2020,118.616501,120,115.801003,118.75,118.75,158600000
4/20/2020,119.497498,122.249001,119.302498,119.680496,119.680496,115414000
4/21/2020,120.830498,121.415497,113.983002,116.405998,116.405998,149534000
4/22/2020,118.449997,119.699997,117.550003,118.1745,118.1745,84244000
4/23/2020,119.999001,121.210999,119.103996,119.972504,119.972504,101332000
4/24/2020,120.849998,121.0215,119.099998,120.511002,120.511002,76498000
4/27/2020,122.160004,122.244003,118.150002,118.800003,118.800003,112912000
4/28/2020,118.605003,118.675003,115.300003,115.704002,115.704002,105388000
4/29/2020,116.500504,119.594498,115.5,118.635498,118.635498,91832000
4/30/2020,120.991997,123.75,119.800499,123.699997,123.699997,190692000
5/1/2020,116.839996,118.122002,112.9095,114.302002,114.302002,195452000
5/4/2020,112.819,116.348999,112.819,115.7995,115.7995,97318000
5/5/2020,117,117.550003,115.356499,115.889999,115.889999,64850000
5/6/2020,116.472,117.872498,116,117.563004,117.563004,62356000
5/7/2020,118.738998,118.800003,117.155502,118.380501,118.380501,67928000
5/8/2020,118.607002,119.362,117.849998,118.980499,118.980499,64132000
5/11/2020,118.735001,120.983498,118.605499,120.449997,120.449997,65184000
5/12/2020,120.592499,120.949997,117.75,117.847504,117.847504,61498000
5/13/2020,118.339996,120.385002,116.889999,118.396004,118.396004,95658000
5/14/2020,118.050499,119.568497,117.6605,119.442497,119.442497,72962000
5/15/2020,118.426003,120.550003,117.818497,120.488998,120.488998,84700000
5/18/2020,120.217499,121.650002,119.2005,121.313004,121.313004,87144000
5/19/2020,121.491501,124.25,121.448502,122.466499,122.466499,86410000
5/20/2020,123.893501,125.000504,123.363503,124.897003,124.897003,79962000
5/21/2020,125,126.272499,122.126999,122.336998,122.336998,102288000
5/22/2020,122.750504,123.4925,121.5065,121.844002,121.844002,57342000
5/26/2020,122.900002,123.099998,120.703003,121.093002,121.093002,71364000
5/27/2020,120.249496,120.679001,116.5,120.519501,120.519501,101138000
5/28/2020,119.216499,121.848503,118.911499,120.055,120.055,63804000
5/29/2020,120.796997,122.1185,119.910004,122.1185,122.1185,70198000
6/1/2020,122.400002,123.846497,122.208504,123.552002,123.552002,58578000
6/2/2020,123.349998,123.676498,122.265503,123.620499,123.620499,50598000
6/3/2020,123.400497,124.400002,123.058502,123.919998,123.919998,53420000
6/4/2020,123.871498,125.376999,122.500504,123.029999,123.029999,58974000
